,borough,neighborhood,building_class_category,tax_class_at_present,block,lot,ease-ment,building_class_at_present,address,apartment_number,zip_code,residential_units,commercial_units,total_units,land_square_feet,gross_square_feet,year_built,tax_class_at_time_of_sale,building_class_at_time_of_sale,sale_price,sale_date,bbl
9276,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,345,40, ,A9,255 PRESIDENT STREET                     ,            ,11231,1,0,1,1983,3600,1931,1,A9,0,2007-07-11,3003450040
9277,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,376,15, ,S1,90 LUQUER STREET                         ,            ,11231,1,1,2,1825,2280,1900,1,S1,0,2007-06-01,3003760015
9278,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,421,59, ,A9,321 SACKETT STREET                       ,            ,11231,1,0,1,1667,2912,1901,1,A9,0,2007-12-11,3004210059
9279,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,421,59, ,A9,321 SACKETT STREET                       ,            ,11231,1,0,1,1667,2912,1901,1,A9,0,2007-10-18,3004210059
9280,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,422,143, ,A5,278 HOYT STREET                          ,            ,11217,1,0,1,1007,3624,2006,1,A5,1795000,2007-06-01,3004220143
9281,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,428,22, ,A4,340 SACKETT STREET                       ,            ,11231,1,0,1,1667,2400,1901,1,A4,0,2007-11-09,3004280022
9282,3,CARROLL GARDENS          ,01  ONE FAMILY HOMES                        ,1,464,61, ,A9,17 4TH STREET                            ,            ,11231,1,0,1,1800,3240,1931,1,A9,0,2007-01-16,3004640061
9284,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,354,44, ,B9,131 SUMMIT STREET                        ,            ,11231,2,0,2,2000,4000,1899,1,B9,1417250,2007-05-23,3003540044
9285,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,356,19, ,B9,216 CARROLL STREET                       ,            ,11231,2,0,2,1667,2960,1899,1,B9,1775000,2007-11-05,3003560019
9286,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,364,34, ,B1,119 RAPELYEA STREET                      ,4,11231,2,0,2,2000,3279,1930,1,B1,1750000,2007-06-01,3003640034
9287,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,370,17, ,B9,26 3 PLACE                               ,            ,11231,2,0,2,1900,2584,1899,1,B9,0,2007-02-19,3003700017
9288,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,370,20, ,B9,32 3 PLACE                               ,            ,11231,2,0,2,1900,2352,1899,1,B9,1445300,2007-08-03,3003700020
9289,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,371,26, ,B1,86A 3RD PLACE                            ,            ,11231,2,0,2,1317,2392,1899,1,B1,1812000,2007-04-20,3003710026
9290,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,371,59, ,B9,67 4TH PLACE                             ,            ,11231,2,0,2,1875,2160,1899,1,B9,0,2007-03-16,3003710059
9291,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,377,23, ,B1,160 LUQUER STREET                        ,            ,11231,2,0,2,1817,3040,1901,1,B1,499395,2007-01-26,3003770023
9292,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,377,46, ,B9,155 NELSON STREET                        ,            ,11231,2,0,2,1650,2016,1901,1,B9,0,2007-03-02,3003770046
9293,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,379,34, ,S2,518 COURT STREET                         ,            ,11231,2,1,3,1600,3000,1931,1,S2,1100000,2007-09-26,3003790034
9294,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,379,38, ,S2,524 COURT STREET                         ,            ,11231,2,1,3,1600,3600,1931,1,S2,1350000,2007-06-19,3003790038
9295,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,381,14, ,B9,144 HUNTINGTON STREET                    ,            ,11231,2,0,2,1667,1776,1901,1,B9,0,2007-04-26,3003810014
9300,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,414,6, ,S2,293 COURT STREET                         ,            ,11231,2,1,3,1552,2100,1931,1,S2,483000,2007-06-06,3004140006
9301,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,414,35, ,B9,58 DOUGLASS STREET                       ,            ,11231,2,0,2,1900,3500,1901,1,B9,2515000,2007-08-01,3004140035
9302,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,415,25, ,B9,92 DOUGLASS STREET                       ,            ,11231,2,0,2,2000,2040,1899,1,B9,999999,2007-01-16,3004150025
9303,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,415,67, ,B1,361 DE GRAW STREET                       ,3,11231,2,0,2,2000,2400,1910,1,B1,1500000,2007-09-18,3004150067
9304,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,422,18, ,B9,380 DEGRAW STREET                        ,3,11231,2,0,2,2000,3680,1899,1,B9,2860000,2007-08-08,3004220018
9305,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,422,26, ,C0,396 DE GRAW STREET                       ,            ,11231,3,0,3,2000,3490,1899,1,B9,600000,2007-07-31,3004220026
9306,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,429,32, ,B3,410 SACKETT STREET                       ,            ,11231,2,0,2,1455,2208,1899,1,B3,0,2007-12-14,3004290032
9307,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,429,59, ,B1,387 UNION STREET                         ,            ,11231,2,0,2,1350,2748,1899,1,B1,0,2007-10-09,3004290059
9308,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,429,69, ,B1,371 UNION STREET                         ,3,11231,2,0,2,1260,2568,1899,1,B1,210000,2007-10-05,3004290069
9309,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,443,3, ,S2,339 SMITH STREET                         ,            ,11231,2,1,3,1498,3224,1931,1,S2,0,2007-10-09,3004430003
9310,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,443,24, ,B1,326A PRESIDENT STREET                    ,            ,11231,2,0,2,1712,3120,1901,1,B1,0,2007-08-09,3004430024
9311,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,443,45, ,B3,346 HOYT STREET                          ,            ,11231,2,0,2,1009,1824,1901,1,B3,1650000,2007-07-11,3004430045
9312,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,460,13, ,B3,28 2ND STREET                            ,            ,11231,2,0,2,1800,2280,1901,1,B3,2350000,2007-08-20,3004600013
9313,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,460,50, ,B9,29 THIRD STREET                          ,            ,11231,2,0,2,1600,2440,1901,1,B9,0,2007-12-13,3004600050
9314,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,470,42, ,B1,189 LUQUER STREET                        ,            ,11231,2,0,2,1000,1848,1899,1,B1,1195000,2007-06-13,3004700042
9315,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,472,41, ,B3,11 DENNETT PLACE                         ,            ,11231,2,0,2,881,1512,1899,1,B3,338000,2007-05-23,3004720041
9316,3,CARROLL GARDENS          ,02  TWO FAMILY HOMES                        ,1,474,46, ,B9,187 HUNTINGTON STREET                    ,            ,11231,2,0,2,2000,2220,1899,1,B9,0,2007-05-22,3004740046
9318,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,344,13, ,C0,202 UNION STREET                         ,            ,11231,3,0,3,2150,3450,1900,1,C0,0,2007-05-04,3003440013
9319,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,344,13, ,C0,202 UNION STREET                         ,            ,11231,3,0,3,2150,3450,1900,1,C0,0,2007-05-04,3003440013
9320,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,350,33, ,C0,434 CLINTON STREET                       ,            ,11231,3,0,3,1073,2816,1899,1,C0,0,2007-11-08,3003500033
9321,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,351,20, ,C0,254 PRESIDENT STREET                     ,            ,11231,3,0,3,2083,3528,1899,1,C0,0,2007-02-07,3003510020
9322,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,356,1, ,C0,437 CLINTON STREET                       ,            ,11231,3,0,3,1800,3600,1900,1,C0,0,2007-05-23,3003560001
9323,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,360,5, ,C0,2 FIRST PLACE                            ,            ,11231,3,0,3,1280,2449,1900,1,C0,0,2007-01-22,3003600005
9324,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,361,41, ,C0,79 2 PLACE                               ,            ,11231,3,0,3,2142,4200,1901,1,C0,0,2007-09-12,3003610041
9325,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,373,13, ,C0,10 4TH PLACE                             ,            ,11231,3,0,3,860,2100,1899,1,C0,1140000,2007-01-22,3003730013
9326,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,373,35, ,C0,532 CLINTON STREET                       ,            ,11231,3,0,3,1400,2520,1899,1,C0,0,2007-03-02,3003730035
9327,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,374,2, ,C0,525 CLINTON STREET                       ,            ,11231,3,0,3,1400,2400,1899,1,C0,963000,2007-12-07,3003740002
9328,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,374,25, ,C0,86 4 PLACE                               ,            ,11231,3,0,3,2000,3600,1899,1,C0,0,2007-09-16,3003740025
9329,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,376,27, ,C0,110 LUQUER STREET                        ,            ,11231,3,0,3,1900,1710,1899,1,C0,0,2007-04-13,3003760027
9330,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,376,30, ,C0,538 CLINTON STREET                       ,            ,11231,3,0,3,2250,3950,1899,1,C0,0,2007-08-10,3003760030
9331,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,376,43, ,C0,113 NELSON STREET                        ,            ,11231,3,0,3,1900,1995,1899,1,C0,0,2007-06-30,3003760043
9334,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,414,29, ,C0,46 DOUGLASS STREET                       ,            ,11231,3,0,3,1875,3135,1986,1,C0,0,2007-05-11,3004140029
9335,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,414,52, ,C0,317 DE GRAW STREET                       ,            ,11231,3,0,3,1667,2624,1901,1,C0,0,2007-08-09,3004140052
9336,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,422,36, ,C0,416 DE GRAW STREET                       ,            ,11231,3,0,3,1313,1836,1899,1,C0,0,2007-02-06,3004220036
9337,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,429,3, ,C0,297 SMITH STREET                         ,2,11231,3,0,3,1200,2640,1901,1,C0,0,2007-07-16,3004290003
9338,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,429,64, ,A9,379 UNION STREET                         ,            ,11231,1,0,1,1980,3960,1899,1,C0,1835000,2007-03-30,3004290064
9343,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,436,64, ,C0,313 PRESIDENT STREET                     ,            ,11231,3,0,3,1723,3144,1899,1,C0,0,2007-04-24,3004360064
9344,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,443,23, ,C0,326 PRESIDENT STREET                     ,            ,11231,3,0,3,1712,3140,1901,1,C0,0,2007-09-24,3004430023
9345,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,443,65, ,C0,275 CARROLL STREET                       ,            ,11231,3,0,3,1957,3320,1901,1,C0,0,2007-07-27,3004430065
9346,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,443,69, ,C0,267 CARROLL STREET                       ,            ,11231,3,0,3,1957,3540,1901,1,C0,1700000,2007-01-22,3004430069
9347,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,459,31, ,C0,125 2 PLACE                              ,            ,11231,3,0,3,1667,3072,1899,1,C0,0,2007-09-06,3004590031
9348,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,459,31, ,C0,125 2 PLACE                              ,            ,11231,3,0,3,1667,3072,1899,1,C0,1870000,2007-08-28,3004590031
9349,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,460,55, ,C0,19 THIRD STREET                          ,            ,11231,3,0,3,1600,3108,1899,1,C0,1235000,2007-01-30,3004600055
9350,3,CARROLL GARDENS          ,03  THREE FAMILY HOMES                      ,1,478,16, ,C0,190 WEST 9TH   STREET                    ,            ,11231,3,0,3,1875,2280,1910,1,C0,0,2007-09-20,3004780016
9357,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,338,39, ,C3,239 UNION STREET                         ,            ,11231,4,0,4,2292,3484,1920,2,C3,0,2007-09-17,3003380039
9358,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,339,51, ,C1,269 UNION STREET                         ,8,11231,8,0,8,3250,9090,1920,2,C1,2840000,2007-01-26,3003390051
9359,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,343,26, ,C2,524 HENRY STREET                         ,            ,11231,5,0,5,2000,6500,1910,2,C2,0,2007-01-01,3003430026
9360,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,343,36, ,C1,159 PRESIDENT STREET                     ,8,11231,8,0,8,3100,7764,1931,2,C1,0,2007-11-28,3003430036
9361,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,349,3, ,C3,138 PRESIDENT STREET                     ,5,11231,4,0,4,1600,4160,1900,2,C3,0,2007-09-13,3003490003
9362,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,349,3, ,C3,138 PRESIDENT STREET                     ,5,11231,4,0,4,1600,4160,1900,2,C3,1550000,2007-06-18,3003490003
9363,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,349,8, ,C1,148 PRESIDENT STREET                     ,7,11231,7,0,7,2500,5700,1900,2,C1,0,2007-05-04,3003490008
9364,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,349,18, ,C1,168 PRESIDENT STREET                     ,8,11231,8,0,8,3275,8756,1920,2,C1,475000,2007-06-07,3003490018
9365,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,349,18, ,C1,168 PRESIDENT STREET                     ,8,11231,8,0,8,3275,8756,1920,2,C1,0,2007-06-07,3003490018
9366,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,351,4, ,C1,419 CLINTON STREET                       ,10,11231,10,0,10,2500,7398,1900,2,C1,2750000,2007-07-12,3003510004
9368,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2,351,7, ,C1,230 PRESIDENT STREET                     ,12,11231,12,0,12,2437,9320,1900,2,C1,0,2007-01-01,3003510007
9369,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,351,41, ,C3,215 CARROLL STREET                       ,            ,11231,4,0,4,2200,2530,1900,2,C3,0,2007-07-31,3003510041
9370,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,354,27, ,C3,556 HENRY STREET                         ,            ,11231,4,0,4,1600,2781,1900,2,C3,0,2007-09-28,3003540027
9371,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,354,30, ,C3,562 HENRY STREET                         ,            ,11231,4,0,4,2000,2750,1900,2,C3,1625000,2007-05-02,3003540030
9372,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,354,33, ,C3,568 HENRY STREET                         ,            ,11231,4,0,4,1750,2660,1900,2,C3,0,2007-10-23,3003540033
9373,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,355,5, ,C3,146 CARROLL STREET                       ,            ,11231,4,0,4,1260,2085,1900,2,C3,0,2007-02-08,3003550005
9374,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,356,6, ,C3,427 CLINTON STREET                       ,            ,11231,4,0,4,1400,2800,1900,2,C3,0,2007-11-08,3003560006
9375,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,356,41, ,C3,91 1ST PLACE                             ,            ,11231,4,0,4,2500,4650,1900,2,C3,0,2007-09-25,3003560041
9376,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,359,16, ,C3,150 SUMMIT STREET                        ,            ,11231,4,0,4,2075,3037,1900,2,C3,1450000,2007-06-11,3003590016
9377,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,359,16, ,C3,150 SUMMIT STREET                        ,            ,11231,4,0,4,2075,3037,1900,2,C3,0,2007-06-11,3003590016
9378,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,360,20, ,C3,30 1ST PLACE                             ,            ,11231,4,0,4,2600,3744,1900,2,C3,0,2007-11-26,3003600020
9379,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,360,20, ,C3,30 1ST PLACE                             ,            ,11231,4,0,4,2600,3744,1900,2,C3,0,2007-11-25,3003600020
9380,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,360,39, ,C3,31 SECOND PLACE                          ,            ,11231,4,0,4,2333,3360,1900,2,C3,875000,2007-01-12,3003600039
9381,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,361,15, ,C3,74 1 PLACE                               ,            ,11231,4,0,4,2500,5324,1910,2,C3,0,2007-01-05,3003610015
9382,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,361,16, ,C3,76 1 PLACE                               ,            ,11231,4,0,4,5250,6404,1910,2,C3,0,2007-09-12,3003610016
9383,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,365,53, ,C3,15 3 PLACE                               ,            ,11231,4,0,4,1733,2163,1930,2,C3,1600000,2007-03-02,3003650053
9384,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,370,13, ,C3,18 THIRD PLACE                           ,            ,11231,4,0,4,2000,2520,1910,2,C3,0,2007-10-22,3003700013
9385,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,373,14, ,C3,14 4TH PLACE                             ,            ,11231,4,0,4,2050,2583,1900,2,C3,0,2007-08-20,3003730014
9386,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,373,14, ,C3,14 4TH PLACE                             ,            ,11231,4,0,4,2050,2583,1900,2,C3,0,2007-08-20,3003730014
9388,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,377,13, ,C3,140 LUQUER STREET                        ,            ,11231,4,0,4,2083,2499,1900,2,C3,1115500,2007-09-21,3003770013
9389,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,377,58, ,C1,137 NELSON STREET                        ,8,11231,8,0,8,2000,4800,1931,2,C1,924000,2007-05-14,3003770058
9396,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,414,38, ,C3,250 SMITH STREET                         ,            ,11231,4,0,4,1800,4800,1931,2,C3,1950000,2007-04-12,3004140038
9397,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,428,56, ,C3,319 UNION STREET                         ,            ,11231,4,0,4,2500,3660,1920,2,C3,0,2007-06-22,3004280056
9398,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,429,15, ,C3,380 SACKETT STREET                       ,            ,11231,4,0,4,1800,3360,1920,2,C3,0,2007-10-23,3004290015
9399,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,435,16, ,C3,306 UNION STREET                         ,            ,11231,4,0,4,2200,4620,1920,2,C3,2000000,2007-01-29,3004350016
9401,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,459,45, ,C3,105 2ND PLACE                            ,            ,11231,4,0,4,1310,2520,1920,2,C3,0,2007-01-22,3004590045
9402,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,463,17, ,C3,128 2ND PLACE                            ,            ,11231,4,0,4,1667,3333,1900,2,C3,1800000,2007-05-15,3004630017
9403,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,463,19, ,C3,132 2 PLACE                              ,            ,11231,4,0,4,2500,4000,1920,2,C3,1825000,2007-04-30,3004630019
9404,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2B,464,27, ,C1,38 3 STREET                              ,8,11231,8,0,8,2700,6696,1920,2,C1,0,2007-04-26,3004640027
9406,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,472,19, ,C2,4-6 DENNETT PLACE                        ,            ,11231,6,0,6,1761,4166,2004,2,C2,0,2007-09-12,3004720019
9408,3,CARROLL GARDENS          ,07  RENTALS - WALKUP APARTMENTS             ,2A,476,30, ,C2,472 SMITH STREET                         ,            ,11231,6,0,6,1642,2580,1901,2,C2,0,2007-05-29,3004760030
9409,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,338,25, ,C6,"244 SACKETT, A                           ",            ,11231,0,0,0,0,0,1920,2,C6,560500,2007-04-12,3003380025
9410,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,338,29, ,C6,"388 CLINTON STREET, 4                    ",            ,11231,0,0,0,0,0,1920,2,C6,725000,2007-02-22,3003380029
9411,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,338,42, ,C6,"233 UNION STREET, 3                      ",            ,11231,0,0,0,0,0,1920,2,C6,735000,2007-09-14,3003380042
9412,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,345,51, ,C6,"231 PRESIDENT STREET, 3                  ",            ,11231,0,0,0,0,0,1920,2,C6,845000,2007-07-27,3003450051
9413,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,350,16, ,C6,"200 PRESIDENT STREET, 2                  ",            ,11231,0,0,0,0,0,1900,2,C6,1100000,2007-10-11,3003500016
9414,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,350,21, ,C6,"210 PRESIDENT STREET, 3                  ",            ,11231,0,0,0,0,0,1900,2,C6,895000,2007-01-23,3003500021
9415,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,350,21, ,C6,"210 PRESIDENT STREET, 4                  ",            ,11231,0,0,0,0,0,1900,2,C6,755000,2007-11-21,3003500021
9416,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,351,9, ,C6,"232 PRESIDENT STREET, 1R                 ",            ,11231,0,0,0,0,0,1920,2,C6,540000,2007-02-22,3003510009
9417,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,355,30, ,C6,"450 CLINTON STREET, 3J                   ",            ,11231,0,0,0,0,0,1900,2,C6,925000,2007-01-08,3003550030
9418,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,355,30, ,C6,"450 CLINTON STREET, 1A                   ",            ,11231,0,0,0,0,0,1900,2,C6,625000,2007-01-17,3003550030
9419,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,355,30, ,C6,"450 CLINTON STREET, 3L                   ",            ,11231,0,0,0,0,0,1900,2,C6,875000,2007-02-01,3003550030
9420,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,355,30, ,C6,"450 CLINTON STREET, 3G                   ",            ,11231,0,0,0,0,0,1900,2,C6,727500,2007-02-06,3003550030
9421,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,355,30, ,C6,"450 CLINTON STREET, 4E                   ",            ,11231,0,0,0,0,0,1900,2,C6,1200000,2007-02-16,3003550030
9422,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,355,30, ,C6,"450 CLINTON STREET, 1B                   ",            ,11231,0,0,0,0,0,1900,2,C6,825000,2007-03-02,3003550030
9423,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,355,30, ,C6,"450 CLINTON STREET, 1D                   ",            ,11231,0,0,0,0,0,1900,2,C6,985000,2007-07-24,3003550030
9424,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,355,50, ,C6,"1 FIRST PLACE, 7                         ",            ,11231,0,0,0,0,0,1900,2,C6,295000,2007-10-22,3003550050
9425,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,366,25, ,C6,"98 SECOND PLACE, 3F                      ",            ,11231,0,0,0,0,0,1900,2,C6,722000,2007-07-30,3003660025
9426,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,371,36, ,C6,"102 THIRD PLACE, 6                       ",            ,11231,0,0,0,0,0,1900,2,C6,640000,2007-12-18,3003710036
9429,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,421,51, ,C6,"337 SACKETT STREET, 3                    ",            ,11231,0,0,0,0,0,1986,2,C6,935000,2007-02-16,3004210051
9430,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2C,464,28, ,C6,"40 THIRD STREET, 9                       ",            ,11231,0,0,0,0,0,1899,2,C6,442000,2007-07-23,3004640028
9431,3,CARROLL GARDENS          ,09  COOPS - WALKUP APARTMENTS               ,2,476,1, ,C6,"515 COURT STREET, 4J                     ",            ,11231,0,0,0,0,0,1930,2,C6,549000,2007-07-18,3004760001
9541,3,CARROLL GARDENS          ,14  RENTALS - 4-10 UNIT                     ,2A,349,43, ,C3,105 CARROLL STREET                       ,            ,11231,4,0,4,1333,3360,1931,2,S3,0,2007-09-21,3003490043
9542,3,CARROLL GARDENS          ,14  RENTALS - 4-10 UNIT                     ,2A,377,28, ,S3,490 COURT STREET                         ,            ,11231,3,1,4,1470,4470,1931,2,S3,0,2007-03-31,3003770028
9543,3,CARROLL GARDENS          ,14  RENTALS - 4-10 UNIT                     ,2A,377,28, ,S3,490 COURT STREET                         ,            ,11231,3,1,4,1470,4470,1931,2,S3,0,2007-03-31,3003770028
9544,3,CARROLL GARDENS          ,14  RENTALS - 4-10 UNIT                     ,2A,414,1, ,S4,303 COURT STREET                         ,            ,11231,4,1,5,1880,3900,1989,2,S4,0,2007-01-04,3004140001
9545,3,CARROLL GARDENS          ,14  RENTALS - 4-10 UNIT                     ,2A,421,1, ,S5,323 COURT STREET                         ,            ,11231,5,1,6,1260,5200,1931,2,S5,0,2007-06-07,3004210001
9546,3,CARROLL GARDENS          ,14  RENTALS - 4-10 UNIT                     ,2A,421,2, ,S4,321 COURT STREET                         ,            ,11231,4,1,5,1992,4315,1931,2,S4,0,2007-06-07,3004210002
9547,3,CARROLL GARDENS          ,14  RENTALS - 4-10 UNIT                     ,2A,429,9, ,S4,285 SMITH STREET                         ,            ,11231,4,1,5,1600,3360,1931,2,S4,1655000,2007-03-30,3004290009
