accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
GEOMETRIC_CENTER,"Verrazzano-Narrows Bridge, Verrazzano-Narrows Bridge, Staten Island, NY, USA",ChIJbbFndJ1PwokRP_O9d-Oyloo,"9TH AVE BRIDGES, Brooklyn, NY, US",40.6066162,-74.04466020000002,1,,OK,"establishment,point_of_interest"
ROOFTOP,"25 Maiden Ln, New York, NY 10038, USA",ChIJacExhxdawokRq2JE-RPzAvg,"CORNERSTONE PROJECT SITE 10, Manhattan, NY, US",40.70926770000001,-74.00889690000002,1,10038,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Richmond Ave & Arthur Kill Rd, Staten Island, NY 10312, USA",EjtSaWNobW9uZCBBdmUgJiBBcnRodXIgS2lsbCBSZCwgU3RhdGVuIElzbGFuZCwgTlkgMTAzMTIsIFVTQSJmImQKFAoSCUMOO4qgS8KJEd-hWXtQXU5UEhQKEglDDjuKoEvCiRHfoVl7UF1OVBoUChIJq8gPKYZLwokRFp380P6aDPYaFAoSCbFvpXLcSsKJEUlDyFbEsnWgIgoNmyEtGBWGlcrT,"ARTHUR KILL RD/RICHMOND AVE, Staten Island, NY, US",40.5610907,-74.16981700000002,1,10312,OK,intersection
APPROXIMATE,"Hudson Yards, New York, NY 10001, USA",ChIJT5P7cLZZwokRJhDnzKdPvSk,"HUDSON YARDS, Manhattan, NY, US",40.7542652,-74.003118,1,10001,OK,"neighborhood,political"
APPROXIMATE,"Whitestone, Queens, NY, USA",ChIJPyY-ve2KwokRJBcRvkPYaro,"WHITESTONE, Queens, NY, US",40.79204489999999,-73.8095574,1,,OK,"neighborhood,political"
APPROXIMATE,"Staten Island, NY, USA",ChIJ59T0ee9FwokReLy6NIUfJ1A,"LOWER DENSITY COMMERCIAL TEXT AMEND, Staten Island, NY, US",40.5795317,-74.1502007,1,,OK,"political,sublocality,sublocality_level_1"
APPROXIMATE,"Staten Island, NY, USA",ChIJ59T0ee9FwokReLy6NIUfJ1A,"LOWER DENSITY FOLLOW-UP TEXT, Staten Island, NY, US",40.5795317,-74.1502007,1,,OK,"political,sublocality,sublocality_level_1"
APPROXIMATE,"Olinville, The Bronx, NY 10467, USA",ChIJLcbPbxXzwokRPKpaUxH_Juc,"OLINVILLE AREA REZO & TEXT AMEND, Bronx, NY, US",40.8803912,-73.8668996,1,10467,OK,"neighborhood,political"
ROOFTOP,"2201 Nostrand Ave, Brooklyn, NY 11210, USA",ChIJF0dZUa1EwokRggdTj6tN48Y,"FLATBUSH-NOSTRAND JUNCTION BID, Brooklyn, NY, US",40.63102470000001,-73.9468397,1,11210,OK,"establishment,parking,point_of_interest"
ROOFTOP,"2600 Netherland Ave # 1817, The Bronx, NY 10463, USA",ChIJD-_1fOvzwokRnwDDqP8xLyk,"PARKVIEW COMMONS II, Bronx, NY, US",40.87872249999999,-73.91448829999999,1,10463,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Wiman Ave, Staten Island, NY 10308, USA",ChIJy7a3TDVKwokR-Ozjniz1kAg,"WIMAN AVE, Staten Island, NY, US",40.54045929999999,-74.14663359999999,1,10308,OK,route
ROOFTOP,"23 Summit St, Staten Island, NY 10307, USA",ChIJXWHyNJ_Kw4kRNw2VBay5WiY,"WILSON ST E/O TOTTENVILLE BLVD, Staten Island, NY, US",40.50944910000001,-74.24308909999998,1,10307,OK,"church,establishment,place_of_worship,point_of_interest,school"
APPROXIMATE,"Bay Terrace, Staten Island, NY, USA",ChIJ17ShucVLwokRLMKdXkLQmF8,"BAY TERRACE REZONING, Staten Island, NY, US",40.5559913,-74.1328046,1,,OK,"neighborhood,political"
APPROXIMATE,"South Slope, Brooklyn, NY, USA",ChIJda0kRORawokR0P7T9I1UN5A,"SOUTH PK SLOPE REZO & TEXT AMEND, Brooklyn, NY, US",40.6605508,-73.9874105,1,,OK,"neighborhood,political"
APPROXIMATE,"Hudson Yards, New York, NY 10001, USA",ChIJT5P7cLZZwokRJhDnzKdPvSk,"HUDSON YARDS, Manhattan, NY, US",40.7542652,-74.003118,1,10001,OK,"neighborhood,political"
GEOMETRIC_CENTER,"Ottavio Promenade, Staten Island, NY 10307, USA",ChIJO3ErT6XKw4kRZsXVDPBsPlA,"N/S/O OTTAVIO PROMENADE W/O PAGE AVE, Staten Island, NY, US",40.5030941,-74.2298402,2,10307,OK,route
ROOFTOP,"61-35 Junction Blvd, Rego Park, NY 11374, USA",ChIJS18aeDZewokRWgO8oe16ZRk,"REGO PARK MALL, Queens, NY, US",40.7331074,-73.863038,2,11374,OK,"establishment,point_of_interest,shopping_mall"
APPROXIMATE,"Staten Island, NY, USA",ChIJ59T0ee9FwokReLy6NIUfJ1A,"S.I. COMM'L OVERLAY ELIMINATION, Staten Island, NY, US",40.5795317,-74.1502007,1,,OK,"political,sublocality,sublocality_level_1"
APPROXIMATE,"Richmond Creek, Staten Island, NY 10306, USA",ChIJK5GCB5JLwokRl_MDGbm5Pzs,"RICHMOND CREEK DRAINAGE PLAN, Staten Island, NY, US",40.571222,-74.15265809999998,1,10306,OK,"establishment,natural_feature"
GEOMETRIC_CENTER,"Arbutus Way, Staten Island, NY 10312, USA",ChIJF7BMaPJKwokRAEoyNMcr37A,"ARBUTUS CREEK WATERSHED, Staten Island, NY, US",40.5288626,-74.181314,1,10312,OK,route
GEOMETRIC_CENTER,"Sweet Brook Rd, Staten Island, NY 10312, USA",ChIJUW6rFaZLwokRqV_qeTnZAgk,"SWEET BROOK SEWER PROJECT, Staten Island, NY, US",40.5545036,-74.16661140000002,1,10312,OK,route
ROOFTOP,"15 Tides Ln, Staten Island, NY 10309, USA",ChIJl3kLPUK1w4kRCT2peZOfq7k,"THE TIDES AT CHARLESTON, Staten Island, NY, US",40.529533,-74.24067560000002,1,10309,OK,"establishment,general_contractor,point_of_interest"
GEOMETRIC_CENTER,"141 Flushing Avenue Unit 801 Unit 801, New York, 11205, United States",ChIJcXNOe8VbwokRF_iOMLxkb4M,"BKLYN NAVY YARD, Brooklyn, NY, US",40.6985551,-73.97120290000002,1,11205,OK,"establishment,point_of_interest"
ROOFTOP,"6110 Riverdale Ave, The Bronx, NY 10471, USA",ChIJCXIAl0_ywokRPg611G5jtJQ,"RIVERDALE-ON-HUDSON REZONING, Bronx, NY, US",40.9102781,-73.9028455,1,10471,OK,"establishment,funeral_home,point_of_interest"
APPROXIMATE,"Morris Park, The Bronx, NY, USA",ChIJ83kGJqn0wokRdI6WlPe_SCE,"MORRIS PARK REZONING, Bronx, NY, US",40.8522006,-73.85072790000002,1,,OK,"neighborhood,political"
ROOFTOP,"535 Hudson St, New York, NY 10014, USA",ChIJeVPytJRZwokRYDd-Jd2nO_w,"FAR WEST VILLAGE, Manhattan, NY, US",40.73464999999999,-74.00631700000002,2,10014,OK,"establishment,food,point_of_interest,restaurant"
ROOFTOP,"7316 Northern Blvd, Jackson Heights, NY 11372, USA",ChIJt_uMBQdfwokRHQ0oIx2-9XI,"ARMANDO'S ITALIAN RESTAURANT, Queens, NY, US",40.7544844,-73.8931369,1,11372,OK,"establishment,food,point_of_interest,restaurant"
APPROXIMATE,"College Point, Queens, NY, USA",ChIJr9e06ayKwokR6ilHG8siXnA,"COLLEGE POINT REZONING, Queens, NY, US",40.786395,-73.8389657,1,,OK,"neighborhood,political"
ROOFTOP,"115-24 Grosvenor Rd, Jamaica, NY 11418, USA",ChIJiyr1hWFhwokRrEGDqjITs_I,"RALPH BUNCHE HOUSE, Queens, NY, US",40.7068667,-73.83703799999998,1,11418,OK,"establishment,point_of_interest"
APPROXIMATE,"Far Rockaway, Queens, NY, USA",ChIJLYA2_6powokRiKZ6SOQloRg,"FAR ROCKAWAY & MOTT CREEK, Queens, NY, US",40.5998931,-73.74484369999998,1,,OK,"neighborhood,political"
ROOFTOP,"327 W 57th St, New York, NY 10019, USA",ChIJq6qGYVhYwokRbQU6VQvb1-Q,"ANCHOR-BROADWAY SITE 8, Brooklyn, NY, US",40.767471,-73.984128,1,10019,OK,"bar,establishment,food,point_of_interest,restaurant"
GEOMETRIC_CENTER,"Bayside, NY 11360, USA",ChIJd1u-HWuKwokRf5diKY-ScDw,"BAY VISTA HOMES, Queens, NY, US",40.7818112,-73.7732657,1,11360,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Bayside, NY 11360, USA",ChIJd1u-HWuKwokRf5diKY-ScDw,"BAY VISTA HOMES, Queens, NY, US",40.7818112,-73.7732657,1,11360,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Central Park, New York, NY, USA",ChIJ4zGFAZpYwokRGUGph3Mf37k,"CENTRAL PK E ESTATES, Staten Island, NY, US",40.78286470000001,-73.9653551,1,,OK,"establishment,park,point_of_interest"
APPROXIMATE,"Tottenville, Staten Island, NY, USA",ChIJkVT0J6LKw4kRQDWqkmQQvnY,"TOTTENVILLE REZONING, Staten Island, NY, US",40.5083408,-74.23554039999998,1,,OK,"neighborhood,political"
APPROXIMATE,"Eltingville, Staten Island, NY, USA",ChIJf5JFr0xKwokRjOLZsWSu_fY,"ELTINGVILLE REZONING, Staten Island, NY, US",40.5394463,-74.15629200000002,1,,OK,"neighborhood,political"
APPROXIMATE,"Great Kills, Staten Island, NY, USA",ChIJPXap_LtLwokR8vELlI3brX0,"GREAT KILLS & TOTTENVILLE WATERFRNT, Staten Island, NY, US",40.5543273,-74.15629200000002,1,,OK,"neighborhood,political"
APPROXIMATE,"Cambria Heights, Queens, NY, USA",ChIJewdzgeVjwokRZradWplzBAY,"CAMBRIA HEIGHTS, Queens, NY, US",40.692158,-73.7330753,1,,OK,"neighborhood,political"
APPROXIMATE,"Flushing, Queens, NY, USA",ChIJP2PATQVgwokRHih0tNEk7Po,"E. FLUSHING REZONING, Queens, NY, US",40.7674987,-73.833079,1,,OK,"neighborhood,political"
APPROXIMATE,"Pelham Gardens, The Bronx, NY, USA",ChIJm6GbNa2MwokRwlmMwSx5pI8,"PELHAM GARDENS, Bronx, NY, US",40.8612162,-73.84484690000002,1,,OK,"neighborhood,political"
ROOFTOP,"20 Jay St #510, Brooklyn, NY 11201, USA",ChIJIVm7PjFawokRb48dbYXr2hs,"DUMBO BID, Brooklyn, NY, US",40.7039015,-73.98644350000002,1,11201,OK,"establishment,point_of_interest"
APPROXIMATE,"Princes Bay, Staten Island, NY 10309, USA",ChIJI0-VOMFKwokRmpKvHiDBh7Q,"PRINCE'S BAY REZONING, Staten Island, NY, US",40.52899439999999,-74.197644,1,10309,OK,"colloquial_area,political"
APPROXIMATE,"Staten Island, NY, USA",ChIJ59T0ee9FwokReLy6NIUfJ1A,"PRINCES POINT, Staten Island, NY, US",40.5795317,-74.1502007,1,,OK,"political,sublocality,sublocality_level_1"
APPROXIMATE,"Utila, Honduras",ChIJyWuZv-RKaI8Rc-zPJylXtRs,"27 UTILA ST, Staten Island, NY, US",16.094960399999998,-86.9273532,2,,OK,"establishment,natural_feature"
RANGE_INTERPOLATED,"3781 Amboy Rd, Staten Island, NY 10308, USA",EiszNzgxIEFtYm95IFJkLCBTdGF0ZW4gSXNsYW5kLCBOWSAxMDMwOCwgVVNBIhsSGQoUChIJEaRatsdLwokR-2zzmh83WSMQxR0,"3781 AMBOY RD, Staten Island, NY, US",40.5516595,-74.14498069999998,1,10308,OK,street_address
GEOMETRIC_CENTER,"E 153rd St, The Bronx, NY, USA",ChIJNZGjrc31wokRV2cSk336kJA,"E153RD BRIDGE, Bronx, NY, US",40.8205283,-73.92263890000002,1,,OK,route
APPROXIMATE,"Bensonhurst, Brooklyn, NY, USA",ChIJD89BhxlFwokR-OV0pQnXwTA,"BENSONHURST REZONING, Brooklyn, NY, US",40.6139307,-73.9921833,1,,OK,"neighborhood,political"
ROOFTOP,"71 W 23rd St #1300, New York, NY 10010, USA",ChIJx-Z_jKRZwokRrG4Eq8g7EMo,"CORNERSTONE 11, Manhattan, NY, US",40.7429639,-73.99227669999998,2,10010,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"The High Line, New York, NY 10011, USA",ChIJ5bQPhMdZwokRkTwKhVxhP1g,"WEST CHELSEA/HIGH LINE, Manhattan, NY, US",40.7479925,-74.00476490000001,1,10011,OK,"establishment,park,point_of_interest"
ROOFTOP,"1 Liberty St, New York, NY 10006, USA",ChIJ__8P4BlawokRNi6_UPdwEdg,"ONE LIBERTY PLAZA, Manhattan, NY, US",40.709808,-74.0107905,1,10006,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Cypress Ave, Brooklyn, NY 11218, USA",ChIJZ5IqFNlawokR25OALqP2C-o,"CYPRESS PLAZA, Brooklyn, NY, US",40.650698,-73.9872926,3,11218,OK,route
,,,"A.I. NAMM & SON DEPT STORE, Brooklyn, NY, US",,,0,,ZERO_RESULTS,
GEOMETRIC_CENTER,"Melrose Ave, The Bronx, NY, USA",ChIJP6gn-Mr1wokRjF64xuYF-oM,"MELROSE COMMONS CORNERSTONE, Bronx, NY, US",40.8223113,-73.9148502,1,,OK,route
ROOFTOP,"3441 21st St, Long Island City, NY 11106, USA",ChIJs8l3aDNfwokRyl_2AXgI5h4,"C-O-P/HAMILTON BEACH AREA, Queens, NY, US",40.7617538,-73.9345585,1,11106,OK,"establishment,point_of_interest,police"
APPROXIMATE,"Greenpoint, Brooklyn, NY, USA",ChIJs1ja4UhZwokRbkVU6bKHDHI,"GREENPOINT-WILLIAMSBURG, Brooklyn, NY, US",40.7304701,-73.95150319999998,1,,OK,"neighborhood,political"
GEOMETRIC_CENTER,"Kissena Park, Kissena Blvd and, Booth Memorial Ave, Fresh Meadows, NY 11365, United States",ChIJz0JyaUZgwokRaa65eFs4xX0,"KISSENA PARK REZONING, Queens, NY, US",40.74611910000001,-73.8076036,1,11365,OK,"establishment,park,point_of_interest"
GEOMETRIC_CENTER,"Tenafly Pl, Staten Island, NY 10312, USA",ChIJC6sWuPpKwokRAS0BQbTFMQ4,"TENAFLY PL, ANNADALE RD, Staten Island, NY, US",40.5365389,-74.1813319,2,10312,OK,route
ROOFTOP,"1152 1st Avenue, New York, NY 10065, USA",ChIJdzOJA-hYwokRuzAF5b6Z9sQ,"BAKER ST, Manhattan, NY, US",40.76213320000001,-73.9599242,1,10065,OK,"bar,establishment,food,point_of_interest,restaurant"
ROOFTOP,"307 Sand Ln, Staten Island, NY 10305, USA",ChIJd88i8NNOwokRyXRKQvf6NkU,"SWEETWATER ESTATES, Staten Island, NY, US",40.592418,-74.067953,1,10305,OK,"establishment,general_contractor,point_of_interest,real_estate_agency"
ROOFTOP,"328 Manor Rd, Douglaston, NY 11363, USA",ChIJMdr49fWJwokRrOJfjkq4fVo,"DOUGLASTON HILL HISTORIC DIST, Queens, NY, US",40.776701,-73.74777590000002,1,11363,OK,"establishment,point_of_interest"
APPROXIMATE,"Springfield Gardens, Queens, NY 11434, USA",ChIJN1Gcm-xmwokRjjmmO-ziYts,"SPRINGFIELD GARDENS REZONING, Queens, NY, US",40.6715916,-73.779798,1,11434,OK,"neighborhood,political"
APPROXIMATE,"Bayside, Queens, NY, USA",ChIJvffyJeJhwokRnqmHtHkM_X4,"BAYSIDE REZONING, Queens, NY, US",40.7585569,-73.76543670000002,1,,OK,"neighborhood,political"
ROOFTOP,"7034 Austin St # 1, Forest Hills, NY 11375, USA",ChIJpX7_MiFewokR5l6QbsQMV6E,"R2A TEXT/BAYSIDE REZONING, Citywide, NY, US",40.72030529999999,-73.84584439999998,2,11375,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"The High Line, New York, NY 10011, USA",ChIJ5bQPhMdZwokRkTwKhVxhP1g,"WEST CHELSEA/HIGH LINE, Manhattan, NY, US",40.7479925,-74.00476490000001,1,10011,OK,"establishment,park,point_of_interest"
APPROXIMATE,"Warnerville, NY 12043, USA",ChIJLeWaz1Yh3IkR7YHphXT3_is,"WARNERVILLE WASTEWATER PUMP STATION, Queens, NY, US",42.66035309999999,-74.507363,2,12043,OK,"locality,political"
APPROXIMATE,"Bay Ridge, Brooklyn, NY, USA",ChIJDascP19FwokR1nNN6phRpKU,"BAY RIDGE REZONING, Brooklyn, NY, US",40.6263732,-74.0298767,1,,OK,"neighborhood,political"
ROOFTOP,"151 Bleecker St, New York, NY 10012, USA",ChIJP-ez6JFZwokRmE9GgYPsvUA,"RED LION BLEECKER, Manhattan, NY, US",40.7284222,-73.99945179999997,1,10012,OK,"bar,establishment,food,point_of_interest,restaurant"
ROOFTOP,"307 Sand Ln, Staten Island, NY 10305, USA",ChIJd88i8NNOwokRyXRKQvf6NkU,"SWEETWATER ESTATES, Staten Island, NY, US",40.592418,-74.067953,1,10305,OK,"establishment,general_contractor,point_of_interest,real_estate_agency"
GEOMETRIC_CENTER,"Kew Gardens Rd, Queens, NY, USA",Eh9LZXcgR2FyZGVucyBSZCwgUXVlZW5zLCBOWSwgVVNBIi4qLAoUChIJSSeYGLxgwokRNZNeNLqMRygSFAoSCbtCS2BNZ8KJEermVu_bDhMn,"KEW GARDENS-RICHMOND HILL, Queens, NY, US",40.70332979999999,-73.81797009999998,1,,OK,route
APPROXIMATE,"Port Morris, The Bronx, NY, USA",ChIJ0ZHUw7_1wokRqlQmU8e9jbs,"PORT MORRIS/BRUCKNER BLVD REZONING, Bronx, NY, US",40.8022025,-73.9166051,1,,OK,"neighborhood,political"
ROOFTOP,"449 W 51st St, New York, NY 10019, USA",ChIJ7816vlBYwokRBNAOaSJbh4s,"449 RESTAURANT, Manhattan, NY, US",40.7650471,-73.9902309,1,10019,OK,"establishment,food,point_of_interest,restaurant"
APPROXIMATE,"Flatbush, Brooklyn, NY, USA",ChIJJ6KUDEBbwokR7PAh-9Ok4hg,"THE JUNCTION, Brooklyn, NY, US",40.6414876,-73.9593998,1,,OK,"neighborhood,political"
ROOFTOP,"4959 Henry Hudson Pkwy W, The Bronx, NY 10471, USA",ChIJRYqBJ7TzwokRTzKvvnQCRdc,"4959 HENRY HUDSON PARKWAY, Bronx, NY, US",40.897462,-73.9086322,1,10471,OK,premise
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"SPECIAL NA DIST TEXT, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
GEOMETRIC_CENTER,"Queens Plaza N, Queens, NY 11101, USA",ChIJ7YDVttVYwokRV2k-nrMpnKI,"QUEENS PLAZA/COURT SQ BID, Queens, NY, US",40.7509846,-73.9402762,1,11101,OK,route
APPROXIMATE,"Bay Ridge, Brooklyn, NY, USA",ChIJDascP19FwokR1nNN6phRpKU,"BAY RIDGE REZONING, Brooklyn, NY, US",40.6263732,-74.0298767,1,,OK,"neighborhood,political"
APPROXIMATE,"Hudson Yards, New York, NY 10001, USA",ChIJT5P7cLZZwokRJhDnzKdPvSk,"HUDSON YARDS, Manhattan, NY, US",40.7542652,-74.003118,1,10001,OK,"neighborhood,political"
GEOMETRIC_CENTER,"Clove Lake Pl, Staten Island, NY 10310, USA",ChIJG9RFzHBOwokRye9mZethKps,"CLOVE LAKE REZONING, Staten Island, NY, US",40.62743220000001,-74.11787609999998,1,10310,OK,route
APPROXIMATE,"Brooklyn, NY, USA",ChIJCSF8lBZEwokRhngABHRcdoI,"NY TELEPHONE CO FORMER L.I. HQ, Brooklyn, NY, US",40.6781784,-73.94415790000002,1,,OK,"political,sublocality,sublocality_level_1"
APPROXIMATE,"Hudson Yards, New York, NY 10001, USA",ChIJT5P7cLZZwokRJhDnzKdPvSk,"HUDSON YARDS, Manhattan, NY, US",40.7542652,-74.003118,1,10001,OK,"neighborhood,political"
APPROXIMATE,"Greenpoint, Brooklyn, NY, USA",ChIJs1ja4UhZwokRbkVU6bKHDHI,"GREENPOINT-WILLIAMSBURG REZONING, Brooklyn, NY, US",40.7304701,-73.95150319999998,1,,OK,"neighborhood,political"
ROOFTOP,"3 Blackstone Pl, The Bronx, NY 10471, USA",ChIJEXG59LfzwokR56EYgF4yPMc,"3 BLACKSTONE PL, Bronx, NY, US",40.893109,-73.911057,1,10471,OK,street_address
ROOFTOP,"209 S Kingshighway St, St Charles, MO 63301, USA",ChIJ720L4hkv34cRuLEdnLM1s0Y,"S/S OF LINDENWOOD PL BETWEEM WITT AVE & LINDENWOOD, Staten Island, NY, US",38.7863879,-90.5015042,1,63301,OK,"establishment,point_of_interest,university"
APPROXIMATE,"North Riverdale, The Bronx, NY, USA",ChIJ--LAn07ywokRPssBN9C4R1Y,"NORTH RIVERDALE REZONING, Bronx, NY, US",40.9090464,-73.90364869999998,1,,OK,"neighborhood,political"
APPROXIMATE,"Hell's Kitchen, New York, NY, USA",ChIJUWBgpFBYwokRAprvYGCydhk,"CLINTON BULK REGULATIONS, Manhattan, NY, US",40.7637581,-73.9918181,1,,OK,"neighborhood,political"
ROOFTOP,"31-91 Steinway St, Astoria, NY 11103, USA",ChIJ64uojztfwokRbT3yZ2suOzw,"LITE BITES & GRILL, Queens, NY, US",40.75897979999999,-73.91868749999998,1,11103,OK,"establishment,food,point_of_interest,restaurant"
GEOMETRIC_CENTER,"E 161 St, The Bronx, NY, USA",ChIJV8uaLjX0wokR36iLhX1SeAw,"161ST STREET BID, Bronx, NY, US",40.8245063,-73.91485750000002,1,,OK,route
ROOFTOP,"2488 Grand Concourse #413, The Bronx, NY 10458, USA",ChIJafHOb4fzwokRFWE0gxOqokk,"FORDHAM RD BID, Bronx, NY, US",40.8620701,-73.8970123,1,10458,OK,"establishment,point_of_interest"
ROOFTOP,"27 W 24th St # 800B, New York, NY 10010, USA",ChIJD4wsQaRZwokRYh8eZFr_dek,"MADISON CHELSEA/FLATIRON BID, Manhattan, NY, US",40.743193,-73.990838,1,10010,OK,"establishment,finance,point_of_interest"
ROOFTOP,"15 Tides Ln, Staten Island, NY 10309, USA",ChIJl3kLPUK1w4kRCT2peZOfq7k,"TIDES AT CHARLESTON, Staten Island, NY, US",40.529533,-74.24067560000002,1,10309,OK,"establishment,general_contractor,point_of_interest"
APPROXIMATE,"Jamaica Hills, Queens, NY, USA",ChIJIX5DEuFgwokRMpsrmgHEuWc,"JAMAICA HILL REZONING, Queens, NY, US",40.7135548,-73.796488,1,,OK,"neighborhood,political"
APPROXIMATE,"Manhattan, New York, NY, USA",ChIJYeZuBI9YwokRjMDs_IEyCwo,"SIGN PROJECTION TEXT AMENDMENT, Manhattan, NY, US",40.7830603,-73.9712488,1,,OK,"political,sublocality,sublocality_level_1"
APPROXIMATE,"The Bronx, NY, USA",ChIJsXxpOlWLwokRd1zxj6dDblU,"BEATRICE C. CATULLO RESIDENCE, Bronx, NY, US",40.8447819,-73.86482679999997,1,,OK,"political,sublocality,sublocality_level_1"
ROOFTOP,"689 10th Ave, New York, NY 10036, USA",ChIJbylRv1FYwokRCEVoTnxktD8,"PS BROTHER GOURMET, Manhattan, NY, US",40.762997,-73.993268,1,10036,OK,"establishment,food,point_of_interest,store"
ROOFTOP,"101 N 10th St, Brooklyn, NY 11249, USA",ChIJwwb7PV1ZwokRToKVMs3UMFA,"HECLA IRON WORKS BLDG, Brooklyn, NY, US",40.7206444,-73.9576001,1,11249,OK,"establishment,point_of_interest"
ROOFTOP,"225 St Pauls Ave, Staten Island, NY 10304, USA",ChIJBUYoBTVOwokRlisZuqL2byo,"ST PAUL'S AVE-STAPLETON HEIGHTS HD, Staten Island, NY, US",40.6322304,-74.0792501,1,10304,OK,"church,establishment,place_of_worship,point_of_interest,store"
APPROXIMATE,"Throgs Neck, The Bronx, NY 10465, USA",ChIJ3YpWhheLwokRLOAu2PJ9OtA,"THROGS NECK AREA REZONING, Bronx, NY, US",40.818399,-73.8213213,1,10465,OK,"neighborhood,political"
GEOMETRIC_CENTER,"Brookville Blvd, Queens, NY, USA",ChIJj01iABhkwokR_oZv-boMKGk,"BROOKVILLE REZONING, Queens, NY, US",40.6621609,-73.7415506,1,,OK,route
GEOMETRIC_CENTER,"Van Cortlandt Park S, The Bronx, NY, USA",ChIJmaa0tabzwokR8NkVmT-2eQ4,"VAN COURTLANDT VILLAGE, Bronx, NY, US",40.8854106,-73.8934812,1,,OK,route
GEOMETRIC_CENTER,"Parkview Ave, The Bronx, NY 10461, USA",ChIJzxWvkVmLwokRC9i5tXXRkoQ,"PARKVIEW COMMONS, Bronx, NY, US",40.8465853,-73.8277246,2,10461,OK,route
GEOMETRIC_CENTER,"Riverdale Ave, The Bronx, NY, USA",ChIJXzW9UL7zwokRaXzVaUluiVc,"CENTRAL RIVERDALE/SPUYTEN DUYVIL, Bronx, NY, US",40.8844368,-73.90762699999998,1,,OK,route
,,,"149-163 BEACH 5TH & 150-164 BEACH 6TH STS, Queens, NY, US",,,0,,ZERO_RESULTS,
ROOFTOP,"5 Nelson Ave, Staten Island, NY 10308, USA",ChIJVVUsC7dLwokRya1IkpcH8sU,"SOUTHERN GREAT KILLS, Staten Island, NY, US",40.54980629999999,-74.15062890000002,1,10308,OK,"establishment,general_contractor,point_of_interest"
APPROXIMATE,"Great Kills, Staten Island, NY, USA",ChIJPXap_LtLwokR8vELlI3brX0,"GREAT KILLS CONTEXTUAL REZONING, Staten Island, NY, US",40.5543273,-74.15629200000002,1,,OK,"neighborhood,political"
ROOFTOP,"New York, NY 10003, USA",ChIJhcuEIplZwokR_rnDImJpI38,"COMMUNITY FACILITY TEXT, Citywide, NY, US",40.7333108,-73.9903719,1,10003,OK,"establishment,point_of_interest,subpremise"
APPROXIMATE,"New York, NY, USA",ChIJOwg_06VPwokRYv534QaPC8g,"LOWER DENSITY GROWTH MGMNT TEXT, Citywide, NY, US",40.7127753,-74.0059728,1,,OK,"locality,political"
APPROXIMATE,"Hunters Point, Queens, NY, USA",ChIJozRYCiZZwokRdJ5l4Zp2La0,"HUNTERS POINT SUBDISTRICT REZONING, Queens, NY, US",40.7485587,-73.94964639999998,1,,OK,"neighborhood,political"
ROOFTOP,"43 W 23rd St, New York, NY 10010, USA",ChIJ23IHaKRZwokR6d32eZtkgII,"LADIES MILE REZONING, Manhattan, NY, US",40.7424843,-73.99122120000001,1,10010,OK,"establishment,insurance_agency,point_of_interest"
APPROXIMATE,"Battery Park City, New York, NY, USA",ChIJuyBm7hpawokRLiwbXIFcTWI,"BATTERY PARK CITY-SITE 26, Manhattan, NY, US",40.7115786,-74.0158441,1,,OK,"neighborhood,political"
ROOFTOP,"56 Greenwich St, New York, NY 10006, USA",ChIJd-75jxZawokRolmj1JYS2T8,"PATHMARK PARKING GARAGE, Manhattan, NY, US",40.706477,-74.01481199999998,1,10006,OK,"establishment,parking,point_of_interest"
RANGE_INTERPOLATED,"6097 Strickland Ave, Brooklyn, NY 11234, USA",Eiw2MDk3IFN0cmlja2xhbmQgQXZlLCBCcm9va2x5biwgTlkgMTEyMzQsIFVTQSIbEhkKFAoSCbN9fK5AQ8KJEReosnI12Cl1ENEv,"6097 STRICKLAND AVE, Brooklyn, NY, US",40.61163370000001,-73.9134897,1,11234,OK,street_address
APPROXIMATE,"Arverne, Queens, NY, USA",ChIJA0PKBZBowokRohJ0nsprcXo,"ARVERNE URA, Queens, NY, US",40.592658,-73.7977928,1,,OK,"neighborhood,political"
GEOMETRIC_CENTER,"Swan St, Buffalo, NY, USA",ChIJhzOWRj4S04kR1UhYgBz0gBY,"SWAN ST & PAVILLION TERRACE, Staten Island, NY, US",42.8796274,-78.86274809999998,6,,OK,route
APPROXIMATE,"Murray Hill, New York, NY, USA",ChIJKyZmEwRZwokRSDaVZ4QprP0,"MURRAY HILL HISTORIC DIST EXT, Manhattan, NY, US",40.7478792,-73.9756567,2,,OK,"neighborhood,political"
APPROXIMATE,"Bellerose Manor, Queens, NY, USA",ChIJRYmymGpiwokRWq0Kc7YmZpo,"BELLROSE REZONING, Queens, NY, US",40.7361769,-73.7137365,1,,OK,"neighborhood,political"
