accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
ROOFTOP,"180 Varick St, New York, NY 10014, USA",ChIJv_keOY1ZwokRMBKDfMjAuxI,"Amended Hudson Square BID, Manhattan, NY, US",40.7276245,-74.00516379999998,1,10014,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Annadale Rd, Staten Island, NY 10312, USA",ChIJjdDS9wNLwokRiPILqmbr9lg,"SS Annadale Road & South Railroad, Staten Island, NY, US",40.5504971,-74.17508339999998,1,10312,OK,route
ROOFTOP,"24 Ottavio Promenade, Staten Island, NY 10307, USA",ChIJg_3DtbrKw4kRyjlFGB5jcn0,"SS 24 Ottavio Promenade, Staten Island, NY, US",40.502494,-74.231026,1,10307,OK,street_address
RANGE_INTERPOLATED,"123 Connecticut St, Staten Island, NY 10307, USA",EjAxMjMgQ29ubmVjdGljdXQgU3QsIFN0YXRlbiBJc2xhbmQsIE5ZIDEwMzA3LCBVU0EiGhIYChQKEglH4kOKkMrDiRGfODPl5VDJVBB7,"SS 123 Connecticut Street, Staten Island, NY, US",40.5045983,-74.249931,1,10307,OK,street_address
APPROXIMATE,"Boerum Hill, Brooklyn, NY, USA",ChIJd-tZW1JawokRmhW4DOdlzTY,"Boerum Hill Historic District Extension, Brooklyn, NY, US",40.6848689,-73.98447220000001,1,,OK,"neighborhood,political"
ROOFTOP,"50 Weaver St, Staten Island, NY 10312, USA",ChIJ9zZT7llKwokR-2xjN_6hdik,"SD 50 Weaver Street, Staten Island, NY, US",40.53256920000001,-74.1659935,1,10312,OK,premise
ROOFTOP,"68 Colon St, Staten Island, NY 10312, USA",ChIJWWK1oO5KwokRY7dggGqJIvI,"SD SS 68 Colon Street, Staten Island, NY, US",40.5315102,-74.18750469999998,1,10312,OK,premise
GEOMETRIC_CENTER,"W 138th and W 139th Street, New York, NY 10030, USA",ChIJ6ekjoHD2wokRAerQAL1UrtU,"Central Harlem Historic District, Manhattan, NY, US",40.8172653,-73.9426015,1,10030,OK,"establishment,point_of_interest"
GEOMETRIC_CENTER,"Canton Ave, Staten Island, NY 10312, USA",ChIJeYMVRh5LwokR3D27s61ZxxI,"SS SD Canton Avenue and Holcomb Avenue(6272,13/15), Staten Island, NY, US",40.548385,-74.1910503,2,10312,OK,route
ROOFTOP,"1617 Central Ave, Far Rockaway, NY 11691, USA",ChIJZbeAlQFmwokREYPuex0Pm88,"Fire House Engine Companies 264 & 328, Queens, NY, US",40.6048599,-73.7521567,2,11691,OK,"establishment,fire_station,point_of_interest"
